,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,QED
0,CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,7200.0,intermediate,281.271,1.89262,0.0,5.0,0.7575592206152357
1,CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,9400.0,intermediate,415.589,3.813200000000002,0.0,2.0,0.48704151931558587
4,CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],2000.0,intermediate,338.3440000000001,3.5390000000000024,0.0,5.0,0.34871711196304506
5,CHEMBL365134,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c(Br)cccc21,980.0,active,372.24300000000005,4.393300000000003,0.0,3.0,0.6384508863125515
6,CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,4820.0,intermediate,311.33700000000005,3.7699000000000016,0.0,3.0,0.6836002597217088
7,CHEMBL190743,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(I)cc21,950.0,active,419.24300000000005,4.235400000000002,0.0,3.0,0.42923843525147337
15,CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,370.0,active,330.34299999999996,2.6682000000000006,1.0,3.0,0.7609766584492366
20,CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,1100.0,intermediate,413.21400000000006,4.173900000000002,0.0,2.0,0.4350283773958228
23,CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,3000.0,intermediate,473.4100000000001,6.304700000000004,1.0,6.0,0.286913257136114
78,CHEMBL212454,O=C(Oc1ccc(S(=O)(=O)c2ccc(OC(=O)C(Cl)=C(Cl)Cl)cc2)cc1)C(Cl)=C(Cl)Cl,900.0,active,565.041,6.101200000000001,0.0,6.0,0.20677790591729225
79,CHEMBL213581,Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,6000.0,intermediate,284.728,1.1272000000000004,2.0,6.0,0.8620782084759047
89,CHEMBL379642,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,3000.0,intermediate,363.3200000000001,3.748800000000002,1.0,5.0,0.5181099210409871
90,CHEMBL427404,Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-],5000.0,intermediate,401.3260000000001,3.6243200000000018,1.0,8.0,0.49893520316335466
98,CHEMBL212218,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,300.0,active,459.1850000000002,4.969820000000001,0.0,6.0,0.43157705005443836
99,CHEMBL222840,O=C(Oc1cncc(Cl)c1)c1ccco1,60.0,active,223.615,2.5472,0.0,4.0,0.7046795655812615
100,CHEMBL222769,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,63.0,active,334.158,4.867600000000002,0.0,4.0,0.6611092281105753
101,CHEMBL222735,COc1cccc(C(=O)Oc2cncc(Cl)c2)c1,340.0,active,263.68,2.9628000000000014,0.0,4.0,0.7661801401843268
102,CHEMBL222628,O=C(Oc1cncc(Cl)c1)c1cscn1,270.0,active,240.67100000000002,2.4107000000000003,0.0,5.0,0.7259622489141555
103,CHEMBL222893,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,95.0,active,289.74300000000005,4.168900000000002,0.0,4.0,0.6746879708466327
104,CHEMBL225515,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,65.0,active,272.69100000000003,3.435500000000001,1.0,3.0,0.7372945589414901
105,CHEMBL222234,O=C(Oc1cncc(Br)c1)c1ccco1,50.0,active,268.066,2.6563000000000008,0.0,4.0,0.7529812109116827
106,CHEMBL426898,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2o1,170.0,active,273.67500000000007,3.700400000000002,0.0,4.0,0.6753888824216334
114,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,1600.0,intermediate,294.35,4.247920000000003,0.0,3.0,0.6581654982718839
116,CHEMBL2146517,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,9200.0,intermediate,338.3590000000001,3.4010200000000026,0.0,5.0,0.5184577078346352
117,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,800.0,active,296.366,3.4433000000000025,0.0,3.0,0.66304203123477
118,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,8800.0,intermediate,276.291,4.095640000000003,0.0,3.0,0.5880636292792898
119,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,4900.0,intermediate,278.307,3.2910200000000023,0.0,3.0,0.664966393498506
123,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,700.0,active,276.291,4.095640000000003,0.0,3.0,0.5880636292792898
124,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,1200.0,intermediate,278.307,3.2910200000000023,0.0,3.0,0.664966393498506
