,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,QED
0,CHEMBL187579,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(C#N)ccc21,7200.0,intermediate,281.271,1.89262,0.0,5.0,0.7575592206152357
1,CHEMBL188487,O=C1C(=O)N(Cc2ccc(F)cc2Cl)c2ccc(I)cc21,9400.0,intermediate,415.589,3.813200000000002,0.0,2.0,0.48704151931558587
4,CHEMBL187717,O=C1C(=O)N(Cc2cc3ccccc3s2)c2c1cccc2[N+](=O)[O-],2000.0,intermediate,338.3440000000001,3.5390000000000024,0.0,5.0,0.34871711196304506
6,CHEMBL187598,O=C1C(=O)N(Cc2cc3ccccc3s2)c2ccc(F)cc21,4820.0,intermediate,311.33700000000005,3.7699000000000016,0.0,3.0,0.6836002597217088
20,CHEMBL383725,O=C1C(=O)N(Cc2ccc3ccccc3c2)c2ccc(I)cc21,1100.0,intermediate,413.21400000000006,4.173900000000002,0.0,2.0,0.4350283773958228
23,CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,3000.0,intermediate,473.4100000000001,6.304700000000004,1.0,6.0,0.286913257136114
79,CHEMBL213581,Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,6000.0,intermediate,284.728,1.1272000000000004,2.0,6.0,0.8620782084759047
89,CHEMBL379642,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,3000.0,intermediate,363.3200000000001,3.748800000000002,1.0,5.0,0.5181099210409871
90,CHEMBL427404,Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-],5000.0,intermediate,401.3260000000001,3.6243200000000018,1.0,8.0,0.49893520316335466
114,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,1600.0,intermediate,294.35,4.247920000000003,0.0,3.0,0.6581654982718839
116,CHEMBL2146517,COC(=O)[C@@]1(C)CCCc2c1ccc1c2C(=O)C(=O)c2c(C)coc2-1,9200.0,intermediate,338.3590000000001,3.4010200000000026,0.0,5.0,0.5184577078346352
118,CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,8800.0,intermediate,276.291,4.095640000000003,0.0,3.0,0.5880636292792898
119,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,4900.0,intermediate,278.307,3.2910200000000023,0.0,3.0,0.664966393498506
124,CHEMBL227075,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,1200.0,intermediate,278.307,3.2910200000000023,0.0,3.0,0.664966393498506
